Conference Name;Corrected Conference Names;TRIMED Names
International Symposium on Autonomous Decentralized Systems;International Symposium on Autonomous Decentralized Systems;International Symposium on Autonomous Decentralized Systems
International Symposium on Computer Science and Technology;International Symposium on Computer Science and Technology;International Symposium on Computer Science and Technology
International Symposium on Digital Manufacture;International Symposium on Digital Manufacture;International Symposium on Digital Manufacture
International Symposium on Instrumentation and Control Technology;IEEE International Symposium on Instrumentation and Control Technology;IEEE International Symposium on Instrumentation and Control Technology
International Workshop on Modelling and Simulation for Autonomous Systems;International Workshop on Modelling and Simulation for Autonomous Systems;International Workshop on Modelling and Simulation for Autonomous Systems
International-Business-Information-Management-Association Conference;International Business Information Management Association Conference;International Business Information Management Association Conference
Manufacturing Engineering Society International Conference;Manufacturing Engineering Society International Conference;Manufacturing Engineering Society International Conference
NordDesign Conference;NordDesign Conference ;NordDesign Conference
On The Move Conference;On The Move to Meaningful Internet Systems;On The Move to Meaningful Internet Systems
Pacific Rim International Conference on Advanced Materials and Processing;Pacific Rim International Conference on Advanced Materials and Processing;Pacific Rim International Conference on Advanced Materials and Processing
Seminar on Geometric Modelling;Dagstuhl Seminar on Geometric Modelling;Dagstuhl Seminar on Geometric Modelling
Symposium on Fusion Technology;Symposium on Fusion Technology;Symposium on Fusion Technology
TRIZ Future Conference;TRIZ Future Conference;TRIZ Future Conference
The Manufacturing Engineering Society International Conference;WASE International Conference on Information Engineering;WASE International Conference on Information Engineering
WASE International Conference on Information Engineering;WSEAS International Conference on Mathematical and Computational Methods in Science and Engineering;WSEAS International Conference on Mathematical and Computational Methods in Science and Engineering
WSEAS International Conference on Mathematical and Computational Methods in Science and Engineering/WSEAS International Conference on Data Networks, Commununications, Computers;WSEAS International Conference on Data Networks, Communications, Computers;WSEAS International Conference on Data Networks, Communications, Computers
WSEAS International Conference on System Science and Simulation in Engineering;WSEAS International Conference on System Science and Simulation in Engineering;WSEAS International Conference on System Science and Simulation in Engineering
Working Conference on Requirements Engineering - Foundations for Software Quality;International Working Conference on Requirements Engineering - Foundations for Software Quality;International Working Conference on Requirements Engineering - Foundations for Software Quality
Workshop on Learning Technology for Education in Cloud;Workshop on Learning Technology for Education in Cloud;Workshop on Learning Technology for Education in Cloud
World Automation Congress;World Automation Congress;World Automation Congress
World Computer Congress;World Computer Congress;World Computer Congress
